Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
306.037,505.324,-1036.94,14490,9520,8190
263.215,497.943,-1075.98,14700,12180,11270
231.678,472.933,-1137.16,13440,16940,12460
218.136,460.123,-1171.38,9450,26250,13020
228.262,475.861,-1179.68,4270,37030,14980
238.205,450.973,-1155.95,-1610,48020,17640
254.309,484.828,-1107.45,-5320,56840,18620
288.774,508.679,-1044.08,-2170,59570,19740
314.943,525.515,-1014.55,7210,55510,18970
336.232,533.994,-1018.64,20510,49210,17710
347.334,532.652,-1031.08,32970,44730,17290
346.175,519.11,-1058.59,41650,43400,18130
344.711,492.697,-1057.8,46620,45920,19530
352.275,471.774,-1042.98,47040,50120,20930
356.423,472.933,-1027.85,42980,54110,22750
349.896,484.645,-1048.04,36260,57120,25060
345.87,517.463,-1118.19,25130,62090,28910
335.561,510.997,-1171.99,10570,71610,35840
315.614,475.556,-1233.42,-4060,83230,42350
330.681,463.905,-1237.2,-13930,97370,45640
360.937,452.742,-1150.09,-10500,107240,45150
379.237,460.306,-1089.77,4550,107380,41720
397.781,461.343,-1070.18,22540,103530,37940
402.539,473.604,-1064.57,36680,100380,35420
399.855,470.798,-1085.56,45500,99050,35630
393.816,447.313,-1114.29,48230,101710,37800
394.853,408.395,-1123.13,45500,109830,40880
394.121,374.235,-1079.58,37450,122360,44310
404.918,347.456,-1015.65,25410,134960,48160
431.209,322.873,-938.485,14210,144970,51100
449.204,321.165,-858.697,10220,148750,51800
462.563,321.287,-850.767,12740,145950,50750
472.933,315.187,-873.398,17500,143920,49140
484.279,314.211,-849.608,21350,146440,48930
496.784,292.678,-818.864,23170,150150,50400
506.605,269.681,-768.6,23800,154420,52290
518.134,251.93,-703.33,25970,157220,53410
530.395,237.778,-650.748,30240,155680,53550
538.996,218.624,-638.304,36120,151340,52920
549.366,198.555,-627.812,41440,148540,52570
563.823,172.447,-599.264,43890,148820,53270
569.435,134.566,-554.734,43540,151060,54880
571.692,92.415,-522.404,38850,153930,55790
561.383,69.174,-492.697,30030,158760,56350
561.81,61.915,-448.411,19600,164220,56280
577.914,37.332,-411.079,10430,165830,56840
580.659,-2.013,-431.514,7560,163520,55440
577.609,-7.503,-438.834,11830,164850,52150
591.517,-25.315,-352.58,20720,168490,48720
611.342,-16.348,-277.855,31430,169190,45290
635.986,-21.472,-183.122,40880,167020,42280
667.95,-20.618,-157.807,45920,161840,40460
677.039,-30.622,-111.996,46410,159460,41020
687.409,-48.251,-78.263,40670,158130,42700
706.014,-62.281,-49.898,30100,157850,45780
717.909,-69.845,-26.047,16100,160510,51380
725.107,-97.783,42.273,2240,163450,56070
736.087,-100.772,100.406,-4620,160860,56140
758.23,-99.369,132.126,-3290,153720,54040
776.896,-90.341,155.916,3080,146440,52220
788.059,-93.391,215.025,9310,140210,50750
805.261,-105.652,262.422,14700,132020,49280
823.378,-116.998,250.344,15680,124740,49140
829.722,-122.976,271.084,11830,122290,49910
833.626,-126.27,327.692,5810,120680,51030
858.697,-148.535,358.558,2240,115710,51870
869.372,-151.097,369.965,630,109130,50750
876.387,-151.158,382.836,-350,103810,50610
882.304,-181.597,415.41,-3150,100450,51310
892.857,-194.59,445.483,-9730,96740,51870
913.17,-209.535,493.368,-12950,91980,51940
911.462,-210.328,550.403,-10500,82740,49700
919.636,-225.822,548.024,-3430,69510,47180
926.468,-246.013,508.008,2590,57750,44100
914.268,-250.71,488.854,5250,50540,41860
912.438,-270.413,492.636,5110,46480,41370
926.285,-293.471,520.208,2310,42350,40810
939.156,-323.178,540.948,-2730,35420,39900
927.871,-345.748,490.745,-7420,26250,38290
917.379,-355.264,454.755,-10640,20230,35700
908.595,-374.479,411.75,-13440,16380,32340
899.018,-389.363,378.566,-16100,14980,28700
893.528,-404.247,359.29,-19810,15540,24360
893.589,-416.569,340.197,-23730,16240,19320
896.639,-412.665,334.829,-26180,17220,13860
905.24,-386.435,342.759,-25550,16870,8260
928.359,-353.19,346.602,-21140,13580,3500
950.746,-338.489,333.609,-16100,8890,980
949.892,-333.243,312.564,-12740,4620,-350
945.927,-333.06,287.371,-10150,1540,-1400
942.511,-331.291,269.315,-8610,0,-2310
941.108,-333.182,253.821,-7840,-770,-3360
935.435,-326.289,246.196,-6860,-700,-4900
938.546,-311.71,245.83,-5460,-700,-6580
945.439,-299.266,243.756,-3570,-1190,-7840
943.792,-291.031,233.142,-1680,-1820,-8890
942.999,-274.561,225.212,-770,-1610,-9800
955.321,-255.895,225.395,-910,-910,-10360
965.569,-234.362,230.336,-1330,-490,-10080
972.95,-211.426,241.072,-1330,-700,-8960
980.88,-200.507,249.063,-910,-2170,-7280
982.039,-200.507,248.148,-560,-4200,-5320
970.388,-204.35,238.51,140,-5880,-3990
959.835,-209.718,234.545,1470,-6930,-3080
955.077,-205.997,227.347,3150,-7770,-3220
966.606,-194.102,230.336,4970,-8540,-3220
972.34,-188.124,236.497,6300,-9730,-1890
975.146,-189.466,235.155,6790,-11830,-70
970.632,-195.566,226.798,7000,-13790,1820
963.617,-210.877,226.188,7140,-15960,3220
957.212,-222.772,198.494,7910,-18340,3710
948.001,-240.157,177.754,8610,-18830,3780
934.032,-261.141,162.138,8680,-17570,3010
929.945,-272.914,150.487,8190,-14980,1260
933.605,-271.877,155.55,7420,-11410,-980
940.437,-265.411,165.737,6510,-8190,-3080
952.454,-248.758,188.49,5950,-5950,-4760
966.911,-241.865,214.964,6720,-5530,-5740
972.828,-227.042,232.898,7700,-6930,-6300
381.067,685.213,-1324.13,35420,-27510,17290
363.377,644.343,-1427.4,32900,-15190,21210
342.088,620.248,-1489.68,25900,2240,22820
337.208,642.147,-1501.21,18130,21840,22610
356.545,710.955,-1457.66,13160,38710,22330
377.468,762.439,-1424.23,14910,48650,24080
378.261,785.131,-1417.46,24010,53480,27230
370.636,767.197,-1428.8,38360,56840,30870
361.547,717.909,-1444.48,54040,61740,34020
336.903,665.998,-1475.96,66360,70840,36540
318.115,617.076,-1452.59,71260,85260,38640
330.681,574.681,-1402.76,70350,101360,40390
351.543,546.56,-1313.7,64400,117110,42560
366.488,533.018,-1207.13,55440,129430,46340
372.649,501.786,-1118.68,44240,135940,51170
367.708,462.624,-1108.49,31990,138670,55580
363.865,452.925,-1095.56,19600,143850,59570
371.124,466.345,-1048.35,10430,149380,63490
379.115,502.396,-1023.34,7700,151620,67620
384.727,500.444,-992.287,11200,153020,73430
373.442,459.513,-967.704,18760,154280,78470
339.953,427.976,-909.693,25760,156310,81340
321.287,365.817,-903.654,30800,156310,81620
312.259,331.047,-906.887,34090,160650,80570
292.739,315.736,-842.776,32480,170870,81340
296.277,288.957,-785.375,27370,180250,84210
306.342,273.402,-695.095,21770,189770,87500
316.59,238.754,-587.247,17570,195230,90370
337.391,178.364,-537.166,16590,195790,91560
342.088,152.744,-467.016,17080,197750,90790
352.336,114.375,-380.884,18130,196980,89600
