Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
230.885,614.758,-944.402,-39550,21070,-2450
228.628,601.643,-926.407,-54040,30240,-2870
230.336,612.989,-917.867,-70140,39060,-3010
233.935,635.376,-912.133,-86450,48230,-2170
247.965,664.107,-882.426,-101850,57820,350
271.328,670.695,-825.757,-113050,65240,3850
284.626,671.976,-776.774,-119070,68600,6020
310.856,679.906,-719.861,-119000,68460,5530
337.818,702.598,-684.176,-108990,63490,2660
343.613,714.798,-687.714,-94290,56070,-630
344.04,699.67,-694.546,-82250,50890,-3570
345.87,684.054,-686.555,-77000,49490,-6090
351.909,687.043,-675.026,-79450,50680,-7420
358.07,687.409,-659.349,-89040,53900,-6510
362.828,688.446,-635.803,-104720,58730,-3360
366.61,687.836,-588.65,-123550,63420,1050
357.46,668.072,-553.087,-142590,65940,5250
340.99,638.243,-536.739,-164500,68250,8050
337.33,624.396,-509.411,-189630,71960,10010
331.23,614.514,-482.388,-215460,75880,12040
320.982,603.107,-446.947,-241080,80150,13510
312.015,584.563,-402.661,-266280,84980,14350
310.795,557.052,-331.413,-292460,90580,14630
322.995,561.932,-232.105,-318500,95690,14210
348.798,592.92,-155.672,-341950,97440,14350
370.941,645.99,-79.483,-361130,98070,16240
399.123,675.575,-10.065,-377510,97090,21420
435.54,700.89,17.568,-393610,96530,29680
441.945,685.579,115.229,-403200,97230,38640
429.928,658.19,178.974,-403690,92610,43540
413.763,645.197,191.296,-398930,86310,45150
400.465,626.653,181.292,-392910,83230,46130
393.511,605.852,197.945,-391790,85820,47600
396.622,605.059,262.727,-390110,89810,48370
400.709,613.233,317.932,-381150,90090,48230
404.308,601.643,369.477,-365400,87080,46900
399.062,576.938,410.652,-343700,81340,44030
379.664,527.284,431.514,-317940,74620,38360
361.791,481.473,448.96,-290710,68740,29190
355.752,475.19,458.72,-263270,64190,18480
357.155,500.749,449.082,-236040,61180,9170
361.791,509.35,481.046,-209300,61250,2870
375.15,537.166,554.917,-183050,61390,-2170
391.986,546.255,655.323,-156520,58730,-6440
395.951,515.206,751.52,-128800,51940,-12180
401.258,503.311,801.906,-104930,42630,-19180
401.746,494.344,820.755,-88690,33740,-24990
397.598,505.446,801.479,-80010,27580,-28980
402.173,510.509,778.482,-78820,26740,-29610
391.803,486.109,784.704,-82600,29960,-28210
399.001,465.491,803.126,-88550,34580,-27720
411.018,461.404,835.212,-94010,38150,-27650
411.201,462.075,852.048,-96320,39620,-27370
406.748,467.931,868.945,-94150,39620,-28280
407.175,470.859,894.443,-90370,38290,-29470
410.896,485.804,901.946,-86520,36190,-29890
401.685,489.281,917.806,-82950,34020,-28560
393.694,488.671,925.004,-83160,32550,-25550
379.725,477.081,935.74,-85610,32550,-21910
362.096,464.82,937.814,-86240,32970,-19740
360.266,476.532,951.173,-83510,33250,-19110
364.902,497.516,984.662,-76300,31570,-18270
365.939,497.699,1002.9,-64400,27160,-17360
350.018,468.724,1017.97,-49700,21210,-17010
326.716,440.115,1002.47,-37380,15680,-17430
312.015,420.778,988.749,-30100,13020,-18410
308.416,426.146,981.124,-28490,13090,-18200
307.684,440.054,993.141,-29610,14700,-16450
315.37,445.361,1024.13,-29050,15470,-14560
324.215,449.936,1048.83,-25550,13930,-12950
326.655,442.067,1061.52,-20090,10220,-11690
318.664,426.512,1047.8,-14000,5460,-11060
305.61,404.247,1028.4,-10220,2100,-10640
301.218,394.914,1007.6,-11550,1190,-10010
308.843,398.94,996.984,-16310,1890,-8050
311.283,391.742,982.405,-20790,2870,-4900
309.392,387.716,975.695,-22750,3850,-2310
311.649,369.66,990.03,-21070,3640,-980
308.782,354.41,989.42,-17360,1470,-1050
306.769,356.972,968.192,-13510,-560,-1680
306.342,361.303,946.659,-9240,-1330,-1890
300.12,340.685,940.193,-5180,-1050,-1680
293.593,325.74,934.947,-3080,-210,-1890
305.183,345.016,958.493,-2310,1120,-2240
321.226,348.005,1007.54,-6440,2240,-420
304.146,342.881,1008.76,-7280,980,1050
302.255,340.441,978.806,-5110,-1610,490
297.558,335.866,958.676,-1750,-4270,-420
285.053,326.167,930.616,2310,-5670,-1400
284.687,318.054,911.523,3990,-5390,-2100
279.685,320.799,892.369,4270,-4620,-1960
273.524,321.714,885.11,3990,-2870,-1680
270.657,326.228,900.055,3290,-840,-1680
276.086,327.997,913.17,1400,560,-1470
274.744,326.411,921.405,-1400,1400,-1050
272.914,328.485,915.549,-4410,2100,-1050
274.195,337.635,918.66,-6440,3150,-1400
278.404,342.332,929.701,-6790,3710,-1260
281.21,349.957,936.35,-5740,3220,-980
287.554,348.371,948.977,-2730,2030,-840
285.419,344.284,957.578,910,-70,-980
283.284,347.212,951.661,4620,-2310,-1680
279.319,341.661,940.864,7490,-3710,-1890
275.964,325.923,931.165,7560,-3920,-2030
267.241,327.57,905.911,3640,-3220,-1540
265.411,328.119,884.561,-980,-560,-420
269.986,328.546,894.443,-4620,2450,350
275.293,338.367,911.645,-5600,3500,490
279.99,344.162,929.152,-4550,3360,280
281.454,342.576,943.487,-3780,2450,490
275.476,343.247,939.156,-2870,1260,350
