Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
389.729,-1454.36,-840.275,-41020,13230,-96950
386.191,-1519.39,-890.112,-46550,13440,-106540
382.531,-1510.91,-930.067,-51310,17640,-120190
337.94,-1480.23,-961.604,-55790,25060,-134610
286.883,-1430.94,-957.09,-60200,35980,-148400
259.067,-1349.69,-930.677,-63560,48580,-159810
227.713,-1282.77,-892.308,-64960,61460,-167930
208.803,-1225.67,-829.6,-66430,72940,-174090
202.459,-1176.87,-760.609,-70490,81900,-178570
198.921,-1119.9,-677.344,-75740,88130,-182070
205.631,-1113.68,-531.92,-80290,88900,-182630
234.972,-1115.32,-517.28,-85890,80220,-181650
249.429,-1052.49,-556.32,-95900,73990,-185080
222.467,-1025.29,-549.732,-104650,72030,-189560
214.293,-930.128,-582.794,-113400,73780,-197260
171.349,-785.192,-559.431,-120190,82810,-206570
108.824,-596.641,-488.671,-120120,94850,-211960
98.759,-494.893,-368.196,-110600,105630,-208600
137.738,-409.737,-347.822,-94780,112280,-204120
168.787,-394.67,-233.691,-75110,118650,-201950
203.801,-408.212,-251.503,-53900,117810,-202440
217.648,-383.446,-262.788,-38990,120190,-209930
201.605,-346.053,-190.747,-26320,123760,-221970
183.427,-253.638,-164.456,-16170,124670,-234710
173.057,-97.966,-75.03,-7350,126070,-248430
129.991,62.281,-60.207,6720,123410,-255780
125.111,156.038,-87.657,21000,121730,-254030
171.715,219.661,-63.44,33530,122010,-248990
228.201,248.636,-77.348,46340,119140,-244020
241.926,321.653,-87.718,57890,116480,-242480
264.618,386.496,-69.784,67060,114170,-238280
311.832,407.907,-61.183,71120,109830,-231350
340.563,502.579,-7.625,66990,104300,-225050
371.368,566.202,39.65,61110,95060,-214970
394.731,624.518,23.973,51730,83020,-202720
414.068,705.587,54.839,40110,73990,-189910
428.464,817.888,89.792,30450,64610,-177450
415.471,972.279,122.793,26460,55510,-163660
450.607,1030.84,159.515,27440,47040,-144200
497.272,1062.07,192.333,28700,36750,-125790
515.45,1074.27,183.915,29050,24150,-108010
554.246,1035.35,170.678,26460,11480,-88550
582.245,1012.78,143.472,19950,-910,-70910
609.024,994.91,97.295,12670,-12250,-53480
651.236,905.362,87.23,5670,-22260,-34650
675.819,812.642,59.231,-2240,-33600,-20090
683.749,763.354,-19.581,-8540,-44520,-9590
700.097,717.36,-95.526,-11270,-51660,210
723.582,661.362,-177.693,-10500,-55300,8960
758.047,606.035,-256.322,-7980,-55510,17430
786.351,523.685,-294.691,-4690,-53340,25690
823.683,478.301,-329.522,-3010,-51030,33040
871.202,377.163,-356.179,-3500,-49630,41160
908.29,295.911,-365.573,-7560,-49560,46760
928.298,233.691,-402.722,-14350,-51380,48790
939.705,194.163,-442.616,-19040,-51240,47740
950.38,172.63,-471.835,-21490,-48650,43190
959.225,145.302,-479.826,-20440,-44170,37170
959.957,139.385,-491.233,-18200,-38850,28560
945.378,175.375,-514.169,-14770,-32270,18480
932.385,199.836,-519.232,-10220,-23590,10150
926.102,240.218,-511.546,-5390,-14210,2240
910.669,279.685,-500.2,210,-4550,-4270
903.288,318.786,-470.371,5320,4690,-8890
903.593,358.497,-427.305,7700,11830,-10990
901.397,364.719,-390.644,6860,15470,-10220
898.652,370.026,-352.458,3570,16590,-9240
890.6,383.263,-320.677,-630,15890,-7980
884.073,395.402,-297.558,-4480,14000,-6230
877.119,400.343,-283.284,-7140,11830,-4480
868.091,411.567,-278.221,-8820,9870,-3010
861.442,414.129,-270.047,-9380,8400,-1330
855.952,410.469,-260.104,-9730,7000,420
846.924,413.519,-263.032,-9380,5600,1890
843.874,407.236,-254.919,-7980,5180,3570
841.129,404.186,-242.597,-6510,4410,4690
834.236,411.75,-239.608,-4760,3220,5390
829.112,422.608,-234.789,-2870,2030,6370
826.977,429.989,-231.983,-1400,490,7700
824.476,440.054,-231.251,-490,-1400,9380
822.585,443.348,-235.399,-210,-3430,11830
821.609,447.557,-235.46,-490,-5670,14280
816.668,454.999,-240.767,-840,-8120,16520
808.982,462.258,-240.584,-1190,-10360,19040
800.076,470.493,-246.806,-1260,-12530,21490
787.022,489.586,-253.577,-1050,-14070,23940
778.055,497.211,-256.627,-560,-14980,27580
775.432,499.773,-257.237,-420,-15750,31780
768.051,503.006,-257.664,-700,-16800,35980
764.513,503.372,-257.847,-1050,-17920,40250
753.472,502.091,-256.444,-1750,-19040,44100
733.342,515.389,-250.344,-2100,-20020,47250
713.151,545.157,-246.928,-1890,-20650,51520
