Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
1062.99,-101.504,-1042.92,3430,19390,30240
1204.51,-101.748,-1040.9,-2100,23520,34020
1331.33,-71.004,-1071.89,-4550,28070,35700
1422.7,-36.112,-1098.31,-1820,37590,35420
1498.89,-10.492,-1100.2,6790,54810,31080
1528.6,-4.941,-996.008,21280,78750,22820
1551.29,6.283,-846.314,42700,103390,10990
1577.03,29.646,-697.413,69580,124110,-5040
1569.9,54.717,-535.702,99190,138810,-21700
1572.34,121.024,-415.471,126000,145320,-35210
1587.22,179.34,-312.503,142380,142240,-41020
1550.93,209.596,-267.729,145460,130060,-38920
1482.73,213.134,-260.531,136220,112910,-29890
1399.77,181.353,-279.929,118930,95550,-17430
1313.51,167.75,-262.117,101710,82460,-7070
1230.98,164.151,-274.012,91770,72380,-840
1139.85,126.209,-284.321,90230,68390,1260
1050.85,119.072,-219.661,94780,69650,700
923.784,90.951,-195.871,103950,70840,0
782.63,30.317,-136.579,116900,74550,-1050
635.498,12.688,-171.532,130060,78190,-840
485.743,-51.362,-137.799,138670,87920,5040
345.504,-78.812,-74.664,142310,95830,12740
204.167,-248.819,14.457,146580,102270,22890
87.23,-636.901,279.197,155120,102340,26320
61.976,-947.818,510.997,177870,81550,12180
66.551,-1153.75,703.208,216930,40040,-13650
-34.648,-1097.02,873.215,263410,-25270,-34300
-266.448,-1091.66,716.933,305200,-113750,-26040
-553.758,-1326.75,104.676,339080,-194950,4830
-762.073,-1684.52,-782.142,372190,-228550,34510
-795.135,-1971.83,-1571.6,399420,-199080,50750
-619.577,-1998.6,-1909.12,399070,-121660,55230
-314.211,-1998.6,-1727.83,356020,-39900,49700
-11.163,-1939.68,-1420.2,284340,6370,30380
181.78,-1645.66,-1213.78,206080,16660,5530
309.636,-1316.69,-1113.68,130620,12530,-9590
375.76,-1147.17,-1025.71,60480,7420,-11340
368.074,-1064.88,-926.712,-5460,3290,-7980
343.369,-954.223,-884.195,-58380,6230,-9730
324.154,-761.28,-775.554,-91210,22680,-16800
309.087,-508.069,-543.083,-104720,45780,-20300
329.339,-334.89,-313.052,-99260,66360,-14840
414.251,-241.499,-101.077,-81200,79730,-4900
522.953,-257.481,15.982,-55020,83860,4550
629.703,-293.349,96.624,-27790,81410,8890
695.034,-368.196,126.697,-4970,73500,10150
746.945,-466.406,122.61,12950,63700,10220
792.146,-543.876,118.096,24780,52850,9100
822.402,-608.292,111.752,30310,39900,6790
842.105,-644.404,106.018,30030,24710,3500
837.957,-674.355,62.464,26460,7490,280
805.81,-688.385,-9.455,21350,-8960,-2800
756.827,-687.165,-100.406,16030,-21490,-5600
711.138,-683.627,-189.588,12390,-28280,-7280
673.013,-667.645,-269.62,9590,-28980,-8330
651.785,-627.629,-326.228,7210,-24010,-8540
642.879,-597.251,-344.101,5880,-15190,-6930
649.284,-588.833,-305.366,5320,-5180,-3430
678.198,-600.057,-260.592,5670,2030,630
705.587,-621.712,-237.168,6720,6650,3150
734.135,-641.903,-178.181,7140,9450,4060
772.809,-651.358,-129.32,6160,7700,3990
793.915,-649.589,-134.688,5040,2240,3290
791.841,-657.458,-153.72,5530,-2590,2380
784.46,-670.756,-183.976,7700,-5530,1120
776.713,-671.244,-211.243,10290,-6510,-1260
