Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
756.949,994.117,-606.95,-3500,22260,6370
819.23,984.784,-534.36,-1960,29960,11830
882.914,977.098,-447.435,-2380,33530,14420
971.669,1028.46,-418.399,-5250,33320,16800
1006.56,1024.49,-392.535,-9520,33040,23800
1036.27,998.265,-372.893,-13440,33180,29890
1071.04,934.154,-343.674,-17360,33810,34720
1101.78,861.137,-259.067,-18830,33810,36890
1143.14,826.611,-237.656,-19740,28210,37170
1153.2,784.948,-244.793,-17290,22400,39690
1132.59,724.131,-246.989,-11900,17150,41510
1120.81,640.744,-261.08,-5950,15890,41860
1119.53,582.55,-199.958,-4270,18480,40250
1147.65,545.096,-122.854,-8750,20580,40600
1138.87,524.6,-21.106,-19460,18060,42210
1108.68,484.035,-24.583,-29120,6720,40740
1090.98,449.631,-82.411,-30380,-7140,33600
1099.04,436.882,-126.392,-23310,-18060,26600
1022.48,416.325,-188.551,-12320,-27650,20230
969.473,386.191,-232.959,2800,-33740,11340
941.047,317.993,-263.093,17360,-35140,1960
898.286,264.008,-250.71,28840,-33040,-9240
862.418,278.221,-194.895,36680,-30940,-20580
825.94,292.373,-155.367,37590,-30170,-27930
774.09,302.194,-141.703,27510,-27300,-30800
693.753,359.717,-101.016,2940,-19670,-29050
643.245,499.346,-33.794,-31080,-12110,-21700
610.488,556.564,9.76,-62020,-11620,-9310
517.341,536.861,-46.787,-83790,-18200,840
417.179,476.41,-136.823,-92540,-24080,2100
330.437,420.595,-221.308,-89180,-25480,-5740
225.273,383.995,-287.127,-79730,-20510,-19320
152.256,481.046,-250.161,-69790,-9940,-36330
154.269,665.022,-140.422,-61460,-3010,-47950
139.202,810.141,-46.543,-51380,-7770,-51310
106.628,903.166,1.83,-36820,-22470,-50120
73.078,929.945,-17.629,-23800,-41580,-48720
45.323,956.419,-91.378,-21000,-58240,-48230
18.544,996.496,-184.891,-30800,-67060,-45990
34.526,994.3,-277.733,-46480,-68390,-42630
40.443,1019.13,-337.269,-62090,-64540,-40460
84.668,1037.85,-371.612,-71540,-59850,-37940
129.686,1036.57,-395.89,-69300,-57120,-34720
167.201,1016.5,-393.694,-56070,-56980,-30310
215.696,1006.26,-413.275,-37870,-59430,-26880
251.381,975.085,-435.235,-20090,-61320,-22960
274.866,958.615,-453.108,-7140,-59500,-19040
293.532,955.016,-451.644,-140,-54110,-14980
318.481,925.065,-447.679,1400,-46410,-9380
328.424,869.616,-438.834,-350,-37030,-3570
336.171,807.213,-433.771,-3710,-26530,630
334.951,752.069,-425.231,-8820,-14070,2940
333.304,733.403,-387.228,-15120,-140,2520
358.497,746.03,-323.971,-19880,12040,490
393.877,769.149,-268.949,-20580,20090,-1190
423.096,772.992,-205.814,-17710,24920,-1960
454.267,781.959,-133.041,-12810,25690,-3570
481.595,805.81,-100.162,-7980,22400,-5040
502.457,826.489,-79.239,-5110,18200,-4830
514.596,827.77,-80.154,-4270,13510,-2870
515.755,817.339,-100.162,-4830,9800,-490
516.548,789.096,-82.472,-3990,7560,700
516.426,764.513,-77.592,-2240,3780,700
513.498,744.383,-95.221,-980,-560,0
510.753,736.514,-118.035,-840,-3850,-1400
516.853,744.993,-147.376,-2590,-5880,-2940
525.271,757.01,-178.242,-4830,-6650,-3850
530.578,764.33,-203.252,-6720,-6300,-4200
532.591,775.798,-221.918,-9030,-4900,-4130
532.957,792.695,-226.493,-10780,-3220,-4340
533.994,807.762,-246.074,-12460,-1750,-4130
531.066,822.158,-252.967,-13510,630,-3500
532.896,822.951,-241.865,-12530,2800,-3080
535.397,820.755,-224.053,-9170,3640,-3220
536.617,829.051,-210.877,-4130,2940,-3990
532.408,837.53,-213.073,910,1540,-4830
530.395,837.408,-216.062,4060,1260,-4970
527.833,831.491,-200.934,4340,2450,-4690
529.602,827.343,-176.839,3080,3430,-4410
528.931,833.26,-169.031,1050,3290,-4270
530.273,844.24,-165.981,-1190,2870,-4200
530.578,858.514,-162.931,-2450,2170,-4130
534.543,867.176,-160.552,-2100,770,-4130
538.813,876.326,-164.334,-350,-1610,-3850
537.593,872.483,-170.19,2310,-4340,-3290
529.297,863.516,-180.377,3850,-6720,-2590
517.158,858.758,-195.444,3010,-7770,-2170
514.718,860.893,-211.609,280,-7350,-1960
517.219,868.274,-219.112,-2800,-6160,-1470
511.912,862.662,-222.589,-4970,-5180,-1190
516.975,870.592,-225.273,-5810,-4620,-1540
526.552,877.485,-232.349,-5950,-4340,-1470
527.406,887.245,-233.874,-5460,-3990,-980
529.053,900.116,-231.678,-4970,-3710,-70
538.386,905.301,-232.715,-4270,-3850,1330
525.82,896.578,-225.761,-3010,-4340,3010
525.942,888.648,-232.898,-1120,-5530,3150
525.271,873.764,-241.987,560,-6160,3920
514.84,856.684,-253.394,1330,-5810,4760
505.69,837.53,-256.2,770,-4200,5110
503.494,823.622,-255.956,-700,-2030,4900
505.995,822.402,-252.113,-1960,140,4200
511.485,826.245,-243.024,-2100,1820,3430
515.206,830.576,-234.362,-840,2520,2800
520.574,832.955,-228.75,840,2450,2380
524.356,834.663,-225.273,2100,2310,2310
527.345,832.528,-224.663,2730,2310,2590
530.212,828.807,-219.905,2170,2660,3220
528.443,821.487,-212.463,1190,3150,4130
523.807,811.727,-202.642,770,3080,4620
518.134,804.59,-198.494,1400,2240,4410
515.45,802.333,-200.202,2520,1120,3920
513.254,796.599,-199.165,3710,140,3570
510.997,792.573,-200.324,4690,-980,3290
508.252,789.462,-198.372,5390,-2030,3150
507.764,783.484,-195.566,6020,-3150,3220
508.435,770.186,-199.653,6790,-4550,3430
499.956,763.659,-210.694,7070,-5460,3430
494.588,750.727,-228.14,6580,-5320,3010
997.96,1018.03,-575.84,-33110,-1540,50120
1028.4,927.139,-545.645,-20580,5950,51800
1039.01,836.859,-507.825,-9520,13790,50120
1048.41,777.323,-441.64,-3990,21490,46900
1055.36,727.608,-396.073,-2240,27930,44100
1096.96,693.997,-335.012,-4550,34230,43610
1100.5,642.635,-303.597,-9730,38990,45710
1103.12,586.027,-246.989,-12180,44240,47390
1110.08,524.417,-182.146,-12180,47390,47670
1116.12,443.836,-55.937,-10780,47460,48930
1072.14,373.381,43.798,-11620,40600,48230
1050.91,320.433,92.964,-12880,27790,42840
1015.16,291.336,15.616,-14630,12110,35000
959.713,276.696,-49.959,-13090,1050,25340
920.368,270.718,-89.426,-9590,-3360,16520
869.494,257.664,-82.106,-5180,-6790,7210
829.112,281.698,-74.237,210,-11200,-2730
805.2,321.592,-33.001,7210,-17290,-10850
753.106,340.014,-38.369,14700,-27230,-17290
695.888,431.27,-64.599,18620,-35770,-21420
681.736,493.307,-72.773,15260,-41090,-18900
644.77,503.372,-108.458,4060,-43750,-10710
585.417,494.222,-142.374,-14140,-42840,-1190
