Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
497.76,-302.438,-1051.33,31220,7210,0
544.73,-290.726,-1085.86,47670,24360,-3570
501.847,-319.091,-1078.42,59500,39830,-4410
497.76,-332.999,-1140.94,68670,53760,-5180
497.272,-331.535,-1142.04,78260,72170,-5810
493.856,-328.607,-1124.05,88060,91350,-6720
485.316,-317.81,-1080.55,98840,110530,-7070
488.915,-335.561,-1031.63,110250,128170,-6720
503.799,-369.965,-973.499,120050,143710,-7350
522.648,-403.088,-909.266,126630,156030,-9870
528.321,-394.06,-857.294,130830,165270,-13440
524.295,-365.207,-812.764,134610,173530,-15470
521.123,-343.247,-758.291,140420,182000,-15610
527.894,-339.221,-719.19,148470,190680,-14910
525.393,-349.225,-668.133,157780,199850,-14560
528.199,-359.595,-616.954,169470,209160,-15260
531.92,-349.408,-552.721,183120,218470,-17360
529.48,-341.661,-512.095,197190,227220,-19390
537.532,-331.84,-420.717,209440,236180,-19950
550.159,-322.202,-337.452,221270,242270,-20020
546.316,-297.436,-288.53,233940,246890,-20580
525.454,-267.729,-279.929,247240,253680,-19950
515.45,-291.458,-308.843,260190,267820,-18410
506.361,-281.454,-230.031,271600,287910,-20160
473.848,-223.992,-166.957,281820,305760,-21420
451.888,-231.068,-120.414,290360,323750,-19040
450.973,-247.599,-55.449,296800,343420,-19600
421.693,-220.82,31.293,301700,362530,-22120
384.239,-193.126,122.671,305620,379960,-23240
389.485,-156.709,250.222,310100,395780,-23870
382.104,-153.232,394.67,309680,404740,-22680
381.982,-140.727,551.562,302820,404810,-20650
405.223,-140.056,686.128,291340,396130,-18760
435.357,-122.122,810.629,276010,379820,-16450
461.526,-132.98,939.034,254660,355950,-10780
504.714,-190.991,1045.23,225260,322420,-4130
557.113,-248.697,1119.9,188020,280770,1260
590.846,-295.118,1188.4,144060,233380,5460
600.484,-310.551,1233.36,96740,181580,10010
590.785,-309.575,1239.64,50610,129290,15820
568.703,-317.078,1179.74,12250,82950,21280
535.885,-314.943,1095.5,-14490,48860,24710
498.675,-316.224,1011.56,-26670,29470,26810
470.432,-320.86,927.749,-23310,24920,27370
460.123,-326.045,861.137,-6720,33390,25200
458.659,-343.308,823.439,17710,50540,20300
465.796,-347.883,832.162,42070,70140,13790
483.73,-338.977,894.809,58800,84910,8680
513.376,-356.911,981.734,64050,89600,6370
544.364,-370.148,1076.22,55790,81900,4130
532.652,-345.626,1128.01,38430,63210,3010
507.276,-345.504,1128.26,18340,40810,5460
491.66,-339.038,1083.67,-70,21210,6860
495.198,-347.7,951.478,-5530,12880,5740
546.377,-333.243,1268.98,28000,35700,-5180
479.826,-279.929,1264.16,50540,36540,-16380
436.028,-307.196,1129.78,54250,25200,-12530
495.564,-306.403,1112.52,35560,13930,-7420
488,-278.526,1087.94,13860,-910,-5460
450.973,-262.483,1072.56,-2730,-15120,-2940
438.651,-238.937,1002.41,-11830,-26390,-1680
416.264,-214.415,929.884,-13930,-30520,-2520
387.777,-199.043,873.581,-12740,-28840,-2520
385.215,-199.653,838.872,-8820,-23590,-1610
386.618,-210.511,811.056,-4690,-16660,-1190
395.036,-212.89,812.581,-910,-8610,-1680
393.023,-205.692,831.125,2450,-2100,-2240
393.572,-208.681,831.308,4340,1890,-1680
398.025,-217.16,847.656,3850,4690,-420
400.16,-228.323,866.932,2450,5880,630
401.99,-234.85,879.864,2240,6440,1120
408.029,-239.974,886.757,3010,6930,700
408.822,-243.573,899.689,3710,6930,-140
409.798,-243.085,915.793,3290,6090,-630
409.92,-238.083,923.113,2450,4410,-840
406.321,-230.702,925.004,1260,2730,-700
409.737,-227.042,920.551,980,2240,-350
421.632,-232.715,985.272,5110,4410,-1470
416.874,-243.695,960.262,7630,2800,-2030
420.595,-246.196,952.82,4830,630,-630
425.841,-233.203,949.16,1330,-2450,-560
412.543,-234.24,936.716,-1400,-5250,-210
407.663,-235.277,921.161,-2660,-6790,630
412.787,-230.824,900.604,-2170,-7000,490
406.382,-238.51,884.195,-1330,-5810,350
406.321,-239.852,884.927,-1540,-4270,490
411.018,-233.203,897.31,-2170,-3360,420
411.567,-236.497,897.981,-2520,-3500,560
412.848,-231.739,903.776,-2170,-3220,420
411.14,-233.996,905.667,-1470,-2800,490
417.118,-238.083,916.464,-1190,-2800,840
426.817,-234.057,917.013,-1260,-3220,770
416.142,-234.362,918.721,-2030,-3920,1050
414.922,-239.852,915.183,-2380,-4620,1330
416.02,-245.464,896.761,-2520,-4830,1330
414.556,-245.83,893.04,-2730,-4340,1330
414.495,-242.231,889.38,-3150,-3640,1400
418.155,-242.414,891.515,-2940,-2800,1330
418.521,-243.939,891.942,-2520,-1890,1120
422.791,-252.052,897.554,-2660,-1190,980
427.915,-252.967,911.401,-2940,-1190,280
427.488,-249.307,913.658,-2520,-1820,-210
423.889,-249.185,913.78,-1960,-2660,-140
421.998,-248.697,905.85,-1750,-3500,210
419.619,-247.965,886.025,-1400,-3710,210
413.763,-244.976,879.132,-1120,-2660,70
413.092,-245.159,881.45,-840,-1190,140
417.911,-248.026,895.907,-840,-70,70
418.216,-247.294,904.142,-490,210,-140
418.887,-247.965,906.765,-210,-280,-210
418.887,-254.797,901.58,-140,-770,-140
419.68,-253.394,901.214,0,-630,-490
417.362,-246.562,900.848,-210,-420,-770
418.704,-247.782,903.349,-70,-350,-700
418.094,-249.856,901.458,0,-420,-770
420.717,-246.928,905.484,-350,-210,-840
419.253,-248.758,909.083,-700,-280,-630
421.876,-250.527,912.743,-980,-630,-280
422.547,-253.272,908.412,-1540,-1050,-280
555.405,-249.612,-967.765,-13300,-840,-14280
560.59,-256.627,-991.067,-10150,1190,-14560
569.618,-259.799,-1013.03,-7630,4130,-15400
563.579,-257.969,-1021.57,-5880,7910,-16170
551.074,-248.453,-1028.03,-3500,12530,-16100
539.85,-234.911,-1046.39,350,18690,-15050
533.14,-231.129,-1059.94,6790,28140,-14000
516.914,-218.441,-1073.6,17150,40460,-13720
497.577,-218.807,-1093.55,34370,57260,-14140
487.268,-211.975,-1069.09,56840,78190,-15820
475.312,-213.012,-1046.03,82810,99960,-17850
466.406,-209.962,-1011.99,111720,122500,-20510
459.086,-211.975,-955.565,140910,144690,-23030
459.452,-225.761,-879.498,168000,164220,-24780
469.761,-244.488,-797.697,190680,178920,-25830
470.798,-274.378,-746.518,208040,188930,-26670
469.273,-308.782,-703.086,220430,196980,-28210
468.236,-328.485,-659.105,228690,204260,-30660
454.389,-325.74,-616.588,236180,211820,-34090
424.316,-279.868,-569.618,246610,220920,-37940
389.79,-214.964,-556.32,263130,233380,-39830
370.514,-180.682,-562.603,284760,252980,-40250
361.73,-167.323,-541.436,307930,280140,-41230
368.318,-168.726,-424.377,330120,309260,-43610
372.283,-155.306,-299.449,348250,331450,-47040
379.908,-135.481,-182.207,359730,346150,-47950
395.524,-119.133,-56.547,366170,354690,-46270
407.724,-107.36,41.297,370370,358190,-42770
422.425,-115.717,112.911,373100,359380,-38640
435.052,-127.795,176.717,373590,359940,-35350
449.387,-145.668,234.484,373520,360920,-34090
458.72,-143.167,311.222,372820,362530,-34860
450.851,-115.29,409.554,371140,362670,-35770
448.594,-87.23,525.332,367500,359240,-34510
474.031,-83.448,614.819,359170,349790,-30310
490.562,-120.109,672.83,342370,334530,-24780
512.278,-182.451,750.544,314020,313740,-19390
553.941,-222.284,815.753,276850,285810,-15050
567.361,-257.664,866.871,233170,252070,-10990
585.234,-280.722,859.978,190260,217000,-6440
580.171,-288.042,862.845,152180,186340,-2660
570.228,-260.836,866.2,124460,162470,-140
577.853,-249.002,888.831,107940,145390,2030
576.816,-253.943,932.751,94150,131250,4060
578.524,-259.128,987.102,80640,117460,5180
569.801,-222.955,1016.69,65660,102760,5110
548.634,-214.415,1024.37,51170,88480,8820
566.324,-195.505,1030.11,37730,77560,11760
576.084,-190.564,1050.24,26600,68600,13580
576.389,-188.307,1066.77,17010,60130,14770
584.563,-183.305,1082.93,10360,52710,15400
585.905,-205.753,1075.43,7350,46480,15260
585.478,-218.746,1071.1,5950,42140,12950
583.709,-221.43,1075.61,4620,38430,9730
578.097,-213.866,1054.81,4690,35140,6160
560.224,-203.923,1034.93,4970,33670,2800
548.146,-190.991,1028.77,3710,33180,560
543.022,-177.022,1048.65,910,32550,-700
524.661,-166.469,1070.92,-2380,29750,-1260
517.28,-171.349,1064.69,-5740,25410,-210
514.596,-161.467,1057.92,-8260,22330,0
497.577,-167.933,1058.23,-9170,20160,-70
496.723,-168.299,1059.94,-7490,18900,-1120
491.538,-181.414,1060.12,-3080,18900,-2730
481.778,-190.808,1062.74,840,19390,-5180
476.166,-177.266,1081.16,3290,18690,-7140
470.554,-171.227,1099.16,3500,15260,-7840
468.053,-174.704,1101.17,1820,9520,-7980
458.232,-170.8,1087.39,-1050,3010,-8330
442.86,-155.062,1045.48,-4060,-2590,-8400
431.453,-141.703,1012.78,-5180,-4900,-8400
426.146,-121.634,1011.14,-3850,-4620,-8470
426.573,-123.037,1011.14,420,-4270,-8470
420.046,-133.102,989.481,4200,-4270,-9030
413.214,-134.261,972.767,5530,-3990,-9590
411.689,-130.174,966.24,4130,-4200,-9170
412.177,-135.054,965.874,1470,-5390,-8330
411.445,-136.518,970.083,-630,-7210,-8120
411.811,-134.688,972.096,-700,-9030,-8400
404.613,-139.202,960.323,630,-10430,-9030
401.624,-137.25,952.332,1820,-11200,-9940
397.72,-122.366,941.169,2800,-11480,-10570
392.474,-120.841,944.524,2310,-11550,-9940
391.559,-118.157,939.095,560,-12460,-8750
393.267,-108.885,920.734,-840,-12530,-8050
387.167,-101.748,912.316,-1260,-11690,-6580
398.33,-119.56,915.244,560,-10570,-4970
403.515,-119.194,914.329,2730,-8890,-5460
419.68,-139.629,939.156,4830,-7700,-5810
431.331,-143.167,956.297,6020,-9590,-8050
424.072,-134.2,961.604,7630,-12670,-10430
404.552,-128.1,937.631,6090,-16520,-10080
403.515,-114.131,908.961,3080,-18690,-8120
399.428,-115.107,903.654,-1190,-19880,-5320
405.589,-115.29,899.75,-3430,-20510,-3710
416.386,-117.73,874.191,-3710,-20090,-3360
394.182,-114.497,866.627,-2450,-17990,-3640
391.376,-127.246,840.031,-3080,-15540,-2310
417.179,-135.664,853.085,-4760,-12110,-1400
432.124,-134.81,879.376,-6300,-10220,-1400
429.013,-133.59,886.818,-8540,-10570,-1050
439.81,-118.706,882.609,-12390,-11970,70
440.908,-126.697,881.145,-14350,-12530,1750
400.648,-197.396,902.617,-14140,-12110,280
482.51,-72.346,874.801,-10290,-12670,-3850
437.736,-131.15,880.901,-7490,-10080,-700
455.914,-125.294,902.068,-6230,-6650,-1050
457.134,-135.298,925.004,-2030,-5950,-980
462.441,-153.232,915.61,700,-6510,-2030
463.722,-151.524,909.266,1190,-6720,-4130
461.465,-125.233,904.813,-910,-7840,-4970
458.659,-122.61,892.735,-4410,-8960,-2240
467.626,-129.869,898.347,-6860,-8540,-280
481.107,-131.394,908.229,-6720,-7840,-420
477.325,-144.265,911.462,-3220,-6440,-1050
474.336,-142.74,909.144,-630,-5040,-2590
472.506,-130.357,917.379,420,-3920,-3220
477.081,-130.662,943.914,350,-4130,-2590
488.549,-140.239,952.576,-140,-6300,-2450
458.537,-245.586,-1104.1,-13580,14350,-20650
437.309,-224.114,-1110.81,-11760,21630,-23800
400.892,-184.708,-1139.85,-3640,32900,-28070
357.033,-141.764,-1143.2,11550,50750,-32830
348.066,-82.228,-1110.38,31010,72240,-36260
331.962,-64.965,-1071.83,54180,94780,-38290
334.219,-68.015,-1010.4,78610,117740,-41370
371.368,-106.506,-947.696,106540,140350,-48160
405.955,-90.951,-887.245,139370,164570,-62160
395.89,2.562,-793,172060,188720,-76090
390.339,81.74,-686.982,201180,208250,-83090
405.772,99.247,-627.568,227080,222530,-83650
428.708,98.271,-565.958,249830,234010,-82810
446.825,74.359,-542.9,271320,242760,-82180
467.504,40.626,-506.788,293300,252210,-82950
482.815,20.74,-439.078,314720,261310,-85190
479.948,0.976,-432.002,338940,269290,-89320
469.822,-10.37,-490.196,366940,283080,-95200
483.852,-37.942,-552.843,394940,309750,-101920
482.022,12.444,-447.496,419720,341180,-108780
477.508,-13.664,-428.525,434210,364070,-108780
509.289,-66.307,-381.799,435750,384790,-105560
525.698,-102.724,-336.354,430220,403130,-104230
519.415,-88.267,-298.778,424760,423290,-104790
519.964,-78.08,-190.991,419300,445340,-105910
515.206,-55.876,-41.541,409360,463890,-107310
521.855,-32.94,162.443,393400,473900,-106260
576.877,5.063,395.89,369950,470960,-102620
641.964,23.729,662.582,334180,450660,-91700
772.26,34.221,968.68,280210,408310,-71890
934.947,-7.564,1206.4,211400,339780,-44730
1024.68,-137.494,1319.86,130550,252560,-15190
1075.06,-243.756,1332.18,46340,161490,10080
1055.85,-281.759,1179.44,-23520,80990,26320
976.854,-271.145,936.533,-66220,28490,34650
891.515,-301.645,718.946,-76020,11200,35560
828.502,-308.416,590.175,-60690,22960,27090
785.314,-278.587,551.135,-29960,51800,13720
748.958,-224.236,612.013,2800,83790,2030
734.318,-195.993,724.802,24640,105630,-3710
745.176,-205.509,836.005,30100,111370,-3360
752.923,-207.4,920.795,21420,102060,-490
738.161,-215.879,935.618,3990,82460,4200
716.628,-230.885,897.432,-14420,61250,8330
687.653,-229.299,825.208,-27440,45500,9940
650.382,-201.056,753.106,-32060,38990,9170
623.359,-170.556,730.78,-28980,40880,8610
623.481,-162.748,747.494,-21280,46200,8820
641.232,-178.974,794.159,-13300,50260,8540
655.689,-186.477,835.151,-9170,49910,7840
668.316,-195.261,872.422,-9520,45080,8120
676.185,-204.899,895.175,-13370,36750,9030
673.196,-218.014,889.441,-18480,27020,9870
659.959,-218.868,854.183,-21490,19320,9800
646.295,-218.502,817.583,-21210,16380,9240
636.474,-222.772,799.039,-17990,17500,8540
635.071,-229.055,801.052,-13860,20090,8120
643.367,-246.745,820.023,-11270,21630,7910
655.079,-256.81,846.558,-10990,20440,7490
658.495,-251.625,864.248,-11900,16590,7070
652.395,-249.673,856.806,-12740,11340,7210
643.55,-252.906,832.894,-12880,6930,7490
638.121,-262.117,809.104,-12040,4690,7000
634.949,-260.592,794.525,-10010,4550,5810
631.96,-253.516,793.244,-7350,5600,4620
631.594,-255.102,796.538,-6090,6020,4200
632.082,-263.825,789.95,-6160,5320,4270
632.936,-267.851,785.985,-6510,4760,4060
634.949,-267.363,786.351,-6580,4410,3640
634.705,-266.814,787.51,-6230,3920,3290
635.315,-263.398,785.741,-5460,3430,3010
636.962,-269.437,789.95,-4410,3010,2520
636.413,-270.779,784.826,-3360,2310,1610
633.485,-266.265,783.362,-3080,1750,910
629.764,-264.008,781.288,-3500,980,910
627.69,-266.143,778.543,-3290,350,910
626.653,-271.206,763.964,-2310,420,490
626.592,-273.158,755.546,-560,1820,-70
627.324,-276.452,755.424,840,3430,-630
628.056,-277.855,759.938,1680,4550,-1050
629.581,-272.304,763.354,1750,5040,-1470
625.738,-269.315,767.502,1330,4760,-1750
625.189,-267.607,775.859,-140,3990,-1820
627.019,-255.956,787.632,-1680,2800,-2030
623.481,-251.381,793.61,-2520,1120,-2310
614.453,-249.856,787.815,-3010,-490,-2170
609.024,-250.71,782.264,-3430,-1190,-1680
607.316,-248.514,781.837,-3570,-1120,-1400
604.327,-247.111,783.118,-3430,-980,-1120
604.693,-255.346,778.97,-2730,-630,-910
607.072,-253.15,777.445,-1190,630,-1050
610.427,-250.283,787.144,-210,1610,-910
612.989,-250.344,797.026,-420,1260,-420
613.843,-250.161,797.819,-1470,-140,420
612.013,-249.978,793.976,-2730,-1680,1120
610.793,-252.601,790.072,-3290,-2940,1610
611.769,-259.189,784.399,-2800,-3430,1680
612.989,-263.276,777.079,-1050,-2870,1120
613.172,-264.435,770.552,1050,-1540,630
617.32,-268.156,773.297,2240,-210,560
624.213,-269.864,780.739,1820,0,770
627.995,-276.33,787.022,70,-1050,910
629.947,-275.171,784.643,-1680,-2870,630
626.836,-267.79,773.053,-2870,-4340,350
624.823,-268.095,766.404,-3080,-4760,350
623.176,-262.361,757.925,-2240,-4200,0
619.272,-258.823,754.997,-910,-3010,-210
617.93,-258.274,754.448,140,-1820,-140
618.662,-261.019,757.254,700,-770,0
619.638,-261.263,765.001,630,-70,140
619.638,-260.165,771.162,0,-350,210
617.564,-256.566,774.273,-1120,-1190,420
612.074,-247.721,772.382,-2380,-2170,910
604.937,-245.281,770.003,-3080,-2660,1400
604.327,-241.804,770.613,-2940,-2660,1680
602.985,-239.913,773.358,-2380,-2590,2030
608.353,-251.503,769.454,-1330,-2590,2380
613.355,-251.442,768.173,-280,-2100,2170
609.939,-262.483,769.759,420,-1610,2170
590.48,-336.659,-972.34,-20580,-1960,-10850
579.134,-315.126,-947.33,-27650,-1400,-13230
566.873,-289.811,-919.392,-33670,-910,-15330
554.429,-254.004,-888.343,-37310,140,-17500
535.153,-218.319,-863.272,-38500,1680,-19250
506.91,-179.401,-865.041,-36470,4340,-20650
469.09,-134.139,-913.963,-26880,11970,-23100
426.207,-69.967,-936.106,-9310,27020,-26040
400.831,-31.293,-938.668,11830,46900,-27090
407.114,5.551,-878.522,32060,67480,-26600
409.066,36.234,-866.505,52920,84560,-25270
400.709,48.251,-889.563,79170,103950,-25270
388.143,69.662,-882.67,108290,128590,-27160
406.748,120.902,-854.305,139790,153930,-28210
385.825,112.667,-830.271,172060,178850,-27860
392.535,106.079,-781.105,202300,203840,-27930
409.066,86.925,-734.684,234990,227640,-29750
419.863,43.066,-672.281,269500,250670,-35350
387.838,71.98,-667.523,304430,274330,-43400
362.706,117.303,-583.404,336840,302750,-47460
369.782,110.593,-586.149,364490,331660,-46480
411.14,27.511,-475.129,384930,365750,-46130
439.139,6.344,-305.976,397670,391300,-50050
444.751,-28.975,-255.346,403060,406210,-52990
433.222,-0.488,-183.61,404460,422450,-55090
415.349,20.557,-87.291,407400,440860,-55650
387.594,18.3,35.441,411040,459970,-55790
368.806,20.008,154.33,413210,477400,-57330
368.501,44.225,337.94,412300,491400,-59220
382.165,31.659,538.02,403130,494900,-59710
444.446,21.228,768.905,377440,483630,-55440
577.304,7.808,1034.93,331380,450450,-43890
726.754,-91.622,1220.98,262290,391930,-25200
855.891,-264.618,1392.94,172340,313810,-1960
958.737,-359.595,1501.27,73360,222950,15960
973.56,-372.71,1485.9,-14770,133070,27720
916.525,-336.659,1356.88,-75460,61600,35070
826.245,-295.179,1140.03,-97370,20510,36890
726.876,-269.376,908.717,-81060,14140,31780
642.025,-228.323,753.411,-39200,37310,21630
601.826,-209.291,704.062,12320,74900,11550
617.625,-259.677,796.233,55160,110180,5110
781.776,-394.853,940.315,78820,132090,70
847.961,-445.788,1269.59,88900,138530,-8120
841.678,-442.433,1357.43,79240,115850,-12600
820.023,-411.628,1412.33,52010,77770,-11760
771.345,-383.812,1366.46,21770,36470,-6020
720.471,-350.262,1226.53,4340,3080,-3220
651.175,-327.875,1035.11,420,-16240,-4130
597.312,-299.449,880.047,3570,-22120,-6160
570.35,-262.788,775.188,9310,-19740,-8400
550.464,-227.896,724.253,13160,-14140,-9170
553.758,-206.79,700.524,13790,-9240,-8120
564.25,-194.956,729.926,12530,-4970,-6510
568.032,-171.898,719.007,10430,-3640,-5320
578.341,-168.909,715.652,8190,-2520,-3360
589.138,-183.793,718.885,4830,-1330,-1540
600.057,-181.841,722.057,1960,-420,-1260
603.656,-171.898,726.754,1330,1330,-1470
611.952,-170.861,745.725,2940,4060,-1400
623.237,-176.595,765.245,4480,6020,-1120
631.655,-193.858,788.364,4130,6440,-350
637.084,-202.276,806.969,1820,4900,140
639.036,-211.06,808.677,-1400,2030,770
630.862,-215.147,789.767,-3220,280,980
618.113,-215.33,774.273,-2240,1540,490
610.183,-216.367,773.541,1120,5110,-280
615.307,-221.186,793.061,4970,8750,-1120
624.152,-231.739,820.694,6370,10080,-1750
632.509,-245.769,842.898,5810,8470,-2870
633.851,-234.423,850.035,5180,5740,-4690
629.642,-215.452,851.804,4830,3220,-5600
620.248,-205.204,847.595,4130,770,-5110
620.858,-195.261,839.726,3360,-1330,-4550
618.479,-200.812,832.223,2800,-2870,-3780
615.002,-198.311,825.33,2030,-3920,-3640
612.135,-194.102,816.302,1890,-4760,-3780
608.292,-190.137,812.093,2170,-5040,-3920
602.924,-188.246,804.651,2940,-5040,-3920
602.436,-183.427,796.965,3360,-4900,-3640
600.484,-180.499,793.366,2660,-5040,-3080
598.166,-176.351,786.778,1470,-5320,-2520
592.981,-171.41,777.445,630,-5180,-1750
593.225,-171.532,769.698,700,-4270,-980
593.042,-179.279,765.733,1050,-3010,-630
598.471,-181.231,772.931,1330,-1820,-630
605.12,-182.024,783.545,1120,-1540,-560
606.401,-183.915,785.497,280,-2170,-420
605.12,-181.231,780.922,-490,-2730,70
605.608,-184.83,775.92,-1750,-2940,770
603.473,-187.575,771.772,-2730,-2730,1400
608.414,-187.026,772.504,-2380,-1400,1470
613.782,-190.747,784.643,-980,0,1400
617.869,-197.579,794.037,-560,350,1400
623.054,-201.849,798.612,-1330,-210,1400
625.982,-198.067,804.041,-1820,-770,1330
625.25,-199.348,805.383,-1960,-1260,1260
627.995,-204.045,802.211,-2380,-1820,1190
625.555,-199.47,800.076,-3010,-2240,1050
621.468,-192.882,800.747,-3360,-2520,1050
617.686,-193.065,796.599,-3780,-2800,1400
617.564,-195.688,793.427,-3850,-2800,1470
616.466,-193.492,793.793,-3500,-2450,1050
616.222,-196.42,797.941,-2590,-2030,770
618.296,-198.433,801.235,-1890,-2100,560
619.882,-198.921,804.59,-1540,-2520,350
623.115,-199.836,808.494,-2170,-3850,420
623.908,-199.165,805.017,-3010,-5320,560
622.261,-199.287,795.196,-3290,-6300,770
618.723,-198.86,779.336,-2870,-6020,630
616.039,-200.812,771.772,-1470,-4200,420
619.333,-205.265,778.238,0,-1820,140
622.871,-210.999,790.194,280,-630,-70
625.677,-212.585,806.847,-420,-1050,-70
